Citation & Title,Forest Type,Region,Year,Scale,Source Data,muti vs single source,Target Source,Sensor Resolution,Method,Key Variables,R²,RMSE,Notes
"Wang et al. (2023) Improved estimation of aboveground biomass of regional coniferous forests integrating UAV-LiDAR strip data, Sentinel-1 and Sentinel-2 imageries",Coniferous,North China,2023,Regional,UAV LiDAR,single,Sentinel-1 (SAR),LiDAR: high-density UAV; Sentinel-1: C-band; Sentinel-2: 10 m,Point-line-polygon framework + regression,"Height, WT textures, species stratification",0.74,Not reported,Multi-scale textures and species stratification improved AGB accuracy
"Wang et al. (2023) Improved estimation of aboveground biomass of regional coniferous forests integrating UAV-LiDAR strip data, Sentinel-1 and Sentinel-2 imageries",Coniferous,North China,2023,Regional,UAV LiDAR,single,Sentinel-2 (Optical),LiDAR: high-density UAV; Sentinel-1: C-band; Sentinel-2: 10 m,Point-line-polygon framework + regression,"Height, WT textures, species stratification",0.79,Not reported,Multi-scale textures and species stratification improved AGB accuracy
"Babcock et al. (2018) Geostatistical estimation of forest biomass in interior Alaska combining Landsat-derived tree cover, sampled airborne LiDAR and field observations",Boreal,"Alaska, USA",2018,Regional,Airborne LiDAR,single,Landsat,LiDAR strips; Landsat 30 m,Bayesian coregionalization,"Tree cover, height",Not explicitly stated,RMSE not given,LiDAR-informed models outperformed Landsat-only; uncertainty quantified
Li et al. (2014) Mapping temperate forest above ground biomass by integrating airborne LiDAR with Radarsat-2 imagery via geostatistical models,Temperate,China,2014,Regional,Airborne LiDAR,single,Radarsat-2 (SAR),LiDAR: airborne; SAR: C-band,Regression co-kriging,"Height, backscatter",0.82,2.02–5.64 m (height RMSE),Incorporating SAR reduced uncertainty; LiDAR metric (Hmean) key
"Beaudoin et al. (2022) Improved k-NN Mapping of Forest Attributes in Northern Canada Using Spaceborne L-Band SAR, Multispectral and LiDAR Data",Boreal,"Northwest Territories, Canada",2022,Regional,GLAS LiDAR footprints,multi,"ALOS PALSAR (L-band SAR), Landsat",LiDAR footprints (~70 m); SAR: L-band; Landsat: 30 m,k-NN,"Height, crown closure, AGB",0.74,RMSE% = 47.8%,PALSAR HV backscatter improved predictions; optimized feature space
Chen et al. (2022) Improved Object-Based Estimation of Forest Aboveground Biomass by Integrating LiDAR Data from GEDI and ICESat-2 with Multi-Sensor Images,Temperate,China,2022,Regional,GEDI & ICESat-2 LiDAR,single,"Sentinel-1, Sentinel-2, ALOS-2",GEDI footprint (~25 m); Sentinel-2: 10 m,Object-based + RF,"Height, canopy cover",Not reported,Not reported,Object-based approach reduced positional uncertainty in heterogeneous terrain
García et al. (2018) Modelling forest canopy height by integrating airborne LiDAR samples with satellite Radar and multispectral imagery,Temperate,North America,2018,Regional,Airborne LiDAR,multi,"ALOS-PALSAR (SAR), Landsat",LiDAR: airborne; SAR: L-band; Landsat: 30 m,SVM regression,Height,0.82,2.02–5.64 m,Multispectral data improved height retrieval; SAR HV band critical
Badreldin & Sanchez-Azofeifa (2015) Estimating Forest Biomass Dynamics by Integrating Multi-Temporal Landsat Satellite Images with Ground and Airborne LiDAR Data,Boreal,"Alberta, Canada",2015,Local,Airborne LiDAR,single,Landsat,LiDAR: airborne; Landsat: 30 m,Regression + allometry,"Height, NDVI, EVI",0.78,44 Mg/ha,Multi-temporal Landsat captured disturbance and recovery trends
Li et al. (2015) Geostatistical modeling using LiDAR-derived prior knowledge with SPOT-6 data to estimate temperate forest canopy cover and above-ground biomass,Temperate,NE China,2015,Regional,Airborne LiDAR,single,SPOT-6 (Optical),LiDAR: airborne; SPOT-6: 6 m,Regression kriging,"Height, canopy cover",Not reported,RMSE = 21.35 t/ha,Stratified sampling improved representativeness; RKrig best performer
Andersen et al. (2012) Geostatistical estimation of forest biomass in interior Alaska,Boreal,"Interior Alaska, USA",2012,Regional,ALS,multi,"Landsat TM/ETM+, ALOS PALSAR",LiDAR: ALS; Landsat: 30 m; SAR: L-band,k-NN Imputation,Total Biomass,0.74,Relative standard error 5.1%,LiDAR-based regression extended using Landsat and SAR
