PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Kaasalainen, S; Holopainen, M; Karjalainen, M; Vastaranta, M; Kankare, V; Karila, K; Osmanoglu, B				Kaasalainen, Sanna; Holopainen, Markus; Karjalainen, Mika; Vastaranta, Mikko; Kankare, Ville; Karila, Kirsi; Osmanoglu, Batuhan			Combining Lidar and Synthetic Aperture Radar Data to Estimate Forest Biomass: Status and Prospects	FORESTS												Research activities combining lidar and radar remote sensing have increased in recent years. The main focus in combining lidar-radar forest remote sensing has been on the retrieval of the above ground biomass (AGB), which is a primary variable related to carbon cycle in land ecosystems, and has therefore been identified as an essential climate variable. In this review, we summarize the studies combining lidar and radar in estimating forest AGB. We discuss the complementary use of lidar and radar according to the relevance of the added value. The most promising prospects for combining lidar and radar data are in the use of lidar-derived ground elevations for improving large-area biomass estimates from radar, and in upscaling of lidar-based AGB data across large areas covered by spaceborne radar missions.					; Karjalainen, Mika/E-3348-2017; Kankare, Ville/MDS-5312-2025; Vastaranta, Mikko/K-9656-2018	Kankare, Ville/0000-0001-6038-1579; Karjalainen, Mika/0000-0003-4320-8007; Vastaranta, Mikko/0000-0001-6552-9122; Kaasalainen, Sanna/0000-0001-6628-418X														1999-4907				JAN	2015	6	1					252	270		10.3390/f6010252	http://dx.doi.org/10.3390/f6010252													WOS:000348403700014
J	Ghosh, SM; Behera, MD				Ghosh, Sujit Madhab; Behera, Mukunda Dev			Aboveground biomass estimation using multi-sensor data synergy and machine learning algorithms in a dense tropical forest	APPLIED GEOGRAPHY												Forest aboveground biomass (AGB) is an important factor for tracking global carbon cycle to tackle the impact of climate change. Among all available remote sensing data and methods, Synthetic Aperture Radar (SAR) data in combination with decision tree based machine learning algorithms has produced favourable results in estimating higher biomass values. Suitability of this method for dense tropical forests has not been properly checked with an adequate number of studies. In this study, aboveground biomass was estimated for two major tree species, Shorea robusta, and Tectona grandis, of Katerniaghat Wildlife Sanctuary, a tropical forest situated in northern India. Aboveground biomass was estimated by combining C-band SAR data from Sentinel-1A satellite, texture images generated from Sentinel-1A data, vegetation indices produced using Sentinel-2A data and ground inventory plots. Decision tree-based machine learning algorithms were used in place of parametric regression models for establishing a relationship between fields measured values and remotely sensed parameters. Using random forest model with a combination of vegetation indices with SAR backscatter as predictor variables shows the best result for S. robusta forest, with a coefficient of determination value of 0.71 and an RMSE value of 105.027 t/ha. In T. grandis forest best result can be found in the same combination but for stochastic gradient boosted model with a coefficient of determination value of 0.6 and an RMSE value of 79.45 t/ha. This study shows that Sentinel series satellite data has exceptional capabilities in estimating dense forest AGB and machine learning algorithms can be very helpful to do so.					; Ghosh, Sujit/AAA-2727-2021	Ghosh, Sujit/0000-0002-8530-1456; Behera, Mukunda/0000-0002-9976-6270													0143-6228	1873-7730				JUL	2018	96						29	40		10.1016/j.apgeog.2018.05.011	http://dx.doi.org/10.1016/j.apgeog.2018.05.011													WOS:000436053300004
J	Ullah, S; Nazeer, M; Wong, MS; Amin, G				Ullah, Sana; Nazeer, Majid; Wong, Man Sing; Amin, Gomal			Remote sensing for aboveground biomass monitoring in terrestrial ecosystems: A systematic review	REMOTE SENSING APPLICATIONS-SOCIETY AND ENVIRONMENT												Monitoring aboveground biomass (AGB) in terrestrial ecosystems is crucial for understanding carbon dynamics, assessing ecosystem health, and informing climate change mitigation strategies. Over the past two decades, advancements in remote sensing (RS) technologies, including optical, synthetic aperture radar (SAR), and light detection and ranging (LiDAR), combined with integrated approaches, have significantly improved AGB estimation accuracy. This systematic review examines spatiotemporal trends in AGB research, evaluates the scale of studies and field plots, and assesses the effectiveness of RS types and their synergies globally. It also addresses uncertainties, prospects, and constraints in RS-based AGB estimation, identifying key research gaps for future investigations. The literature survey reveals a growing use of RS methods and synergies over the last decade. North America and Europe are leading in LiDAR applications, while Asia contributes significantly to optical applications. China and the United States have the highest number of field plots, reflecting extensive sampling efforts and large-scale execution. Research trends focus on temperate, tropical, and boreal forests, with tropical forests exhibiting the highest mean AGB (245 ton ha(-1)). Quantification of data sources shows 30 % of studies used LiDAR, followed by optical (27 %), optical-LiDAR (16 %), SAR-LiDAR (10 %), optical-SAR (7 %), SAR (6 %), and optical-SAR-LiDAR (5 %) combinations. Optical-SAR-LiDAR synergy demonstrated the highest efficiency (R-2 > 0.60), highlighting its potential when integrated with climatic, topographic, and biophysical data using advanced modeling techniques and comprehensive methodologies. This review provides valuable insights for researchers and policymakers focused on carbon cycles, RS, and climate change.					Amin, Gomal/AAL-9425-2020; Nazeer, Majid/P-5110-2014; Ullah, Sana/AAB-3760-2020														2352-9385					AUG	2025	39								101635	10.1016/j.rsase.2025.101635	http://dx.doi.org/10.1016/j.rsase.2025.101635													WOS:001543172100001
J	Wang, YT; Jia, X; Chai, GQ; Lei, LT; Zhang, XL				Wang, Yueting; Jia, Xiang; Chai, Guoqi; Lei, Lingting; Zhang, Xiaoli			Improved estimation of aboveground biomass of regional coniferous forests integrating UAV-LiDAR strip data, Sentinel-1 and Sentinel-2 imageries	PLANT METHODS												BackgroundForest aboveground biomass (AGB) is not only the basis for estimating forest carbon storage, but also an important parameter for evaluating forest carbon cycle contribution and forest ecological function. Data saturation and fewer field plots limit the accuracy of AGB estimation. In response to these questions, we constructed a point-line-polygon framework for regional coniferous forests AGB mapping using field survey data, UAV-LiDAR strip data, Sentinel-1 and Sentinel-2 imageries in this study. Under this framework, we explored the feasibility of acquiring the LiDAR sampling plots using the LiDAR sampling strategy consistent with the field survey, and analyzed the potentials of multi-scale wavelet transform (WT) textures and tree species stratification for improving AGB estimation accuracy of coniferous forests in North China.ResultsThe results showed that UAV-LiDAR strip data of high density point clouds could be used as a sampling tool to achieve sample amplification. Experimental comparison results showed that the Sentinel-based AGB estimation models incorporating the multi-scale WT textures and SAR data performed better, and the model based on coniferous forests tree species significantly improved the performance of AGB estimation. Additionally, the accuracy comparison using different validation sets indicated that the proposed LiDAR sampling strategy under the point-line-polygon framework was suitable for estimating coniferous forests AGB on a large area. The highest accuracy of AGB estimation of larch, Chinese pine and all coniferous forests was 74.55%, 78.96%, and 73.42%, respectively.ConclusionsThe proposed approach can successfully alleviate the data signal saturation issue and accurately produce a large-scale wall-to-wall high-resolution AGB map by integrating optical and SAR data with a relative small number of field plots.					Xiang, Jia/W-9518-2018; Zhang, Xiaoli/AFK-1094-2022; jia, xiang/W-9518-2018	Xiang, Jia/0000-0003-2112-1031; Zhang, Xiaoli/0000-0001-7443-1557; 														1746-4811				JUN 30	2023	19	1							65	10.1186/s13007-023-01043-9	http://dx.doi.org/10.1186/s13007-023-01043-9								37391772					WOS:001018456000001
J	Babcock, C; Finley, AO; Andersen, HE; Pattison, R; Cook, BD; Morton, DC; Alonzo, M; Nelson, R; Gregoire, T; Ene, L; Gobaldten, T; Næsset, E				Babcock, Chad; Finley, Andrew O.; Andersen, Hans-Erik; Pattison, Robert; Cook, Bruce D.; Morton, Douglas C.; Alonzo, Michael; Nelson, Ross; Gregoire, Timothy; Ene, Liviu; Gobaldten, Terje; Naesset, Erik			Geostatistical estimation of forest biomass in interior Alaska combining Landsat-derived tree cover, sampled airborne lidar and field observations	REMOTE SENSING OF ENVIRONMENT												Lidar provides critical information on the three-dimensional structure of forests. However, collecting wall-towall laser altimetry data at regional and global scales is cost prohibitive. As a result, studies employing lidar for large area estimation typically collect data via strip sampling, leaving large swaths of the forest unmeasured by the instrument. The goal of this research was to develop and examine the performance of a coregionalization modeling approach for combining field measurements, strip samples of airborne lidar and Landsat-based remote sensing products to predict aboveground biomass (AGB) in interior Alaska's Tanana Valley. The proposed modeling strategy facilitates mapping of AGB density across the domain. Additionally, the coregionalization framework allows for estimation of total AGB for arbitrary areal units within the study area a key advance to support diverse management objectives in interior Alaska. This research focuses on characterization of prediction uncertainty in the form of posterior predictive coverage intervals and standard deviations. Using the framework detailed here, it is possible to quantify estimation uncertainty for any spatial extent, ranging from point level predictions of AGB density to estimates of AGB stocks for the full domain. The lidar-informed coregionalization models consistently outperformed their counterpart lidar-free models in terms of point-level predictive performance and total (mean) AGB precision. Additionally, including a Landsat-derived forest cover covariate further improved precision in regions with lower lidar sampling intensity. Findings also demonstrate that model-based approaches not explicitly accounting for residual spatial dependence can grossly underestimate uncertainty, resulting in falsely precise estimates of AGB. The inferential capabilities of AGB posterior predictive distribution (PPD) products extend beyond simply mapping AGB density. We show how PPD products can provide insight regarding drivers of AGB heterogeneity in boreal forests, including permafrost and fire, highlighting the range of potential applications for Bayesian geostatistical methods to integrate field, airborne and satellite data.					; Ene, Liviu/J-4143-2019; Cook, Bruce/M-4828-2013; Pattison, Robert/KFQ-2053-2024; Morton, Douglas/D-5044-2012	Babcock, Chad/0000-0001-9597-4462; Gobakken, Terje/0000-0001-5534-049X; Finley, Anew/0000-0002-2277-2912; Næsset, Erik/0000-0002-2460-5843; Ene, Liviu Theodor/0000-0003-2572-6169; 													0034-4257	1879-0704				JUN	2018	212						212	230		10.1016/j.rse.2018.04.044	http://dx.doi.org/10.1016/j.rse.2018.04.044													WOS:000435053200017
J	Ahmad, N; Ullah, S; Zhao, N; Mumtaz, F; Ali, A; Ali, A; Tariq, A; Kareem, M; Imran, AB; Khan, IA; Shakir, M				Ahmad, Naveed; Ullah, Saleem; Zhao, Na; Mumtaz, Faisal; Ali, Asad; Ali, Anwar; Tariq, Aqil; Kareem, Mariam; Imran, Areeba Binte; Khan, Ishfaq Ahmad; Shakir, Muhammad			Comparative Analysis of Remote Sensing and Geo-Statistical Techniques to Quantify Forest Biomass	FORESTS												Accurately characterizing carbon stock is vital for reporting carbon emissions from forest ecosystems. We studied the estimation of biomass using Sentinel-2 remote sensing data in moist temperate forests in the Galies region of Abbottabad Pakistan. Above-ground biomass (AGB), estimated from 60 field plots, was correlated with vegetation indices obtained from Sentinel-2 image-to-map AGB using regression models. Furthermore, additional explanatory variables were also associated with AGB in the geo-statistical technique, and kriging interpolation was used to predict AGB. The results illustrate that the atmospherically resistant vegetation index (ARVI) is the best index (R-2 = 0.67) for estimating AGB. In spectral reflectance, Band 1(Coastal Aerosol 443 nm) performs better than other bands. Multiple linear regression models calibrated with ARVI, NNIR and NDVI yielded better results (R-2 = 0.46) with the lowest RMSE (48.53) and MAE (38.42) and were therefore considered better for biomass estimation. On the other hand, in the geo-statistical technique, distance to settlements, ARVI and annual precipitation were significantly correlated with biomass compared to others. In the stepwise regression method, the forward selection resulted in a very significant value (less than 0.000) for ARVI. Therefore, it can be considered best for prediction and used to interpolate AGB through kriging. Compared to the geo-statistical technique, the remote sensing-based models performed relatively well. Regarding potential sites for REDD+ implementation, temporal analysis of Landsat images showed a decrease in forest area from 8896.23 ha in 1988 to 7692.03 ha in 2018. Therefore, this study concludes that the state-of-the-art open-source sensor, the Sentinel-2 data, has significant potential for forest biomass and carbon stock estimation and can be used for robust regional AGB estimation with acceptable accuracy and frequent availability.					Mumtaz, Faisal/ABA-3846-2021; Ahmad, Naveed/LDF-2802-2024; Ali, Asad/F-9158-2012; Tariq, Aqil/AAS-3787-2020; Tariq, Aqil/AAS-3787-2020; Khan, Ishfaq/AAZ-3913-2021	Zhao, Na/0000-0002-4434-1726; Tariq, Aqil/0000-0003-1196-1248; Tariq, Aqil/0000-0003-1196-1248; Mumtaz, Faisal/0000-0003-1322-126X; Ahmad, Naveed/0000-0003-2562-1164														1999-4907				FEB	2023	14	2							379	10.3390/f14020379	http://dx.doi.org/10.3390/f14020379													WOS:000941214400001
J	Li, HT; Kato, T; Hayashi, M; Wu, L				Li, Hantao; Kato, Tomomichi; Hayashi, Masato; Wu, Lan			Estimation of Forest Aboveground Biomass of Two Major Conifers in Ibaraki Prefecture, Japan, from PALSAR-2 and Sentinel-2 Data	REMOTE SENSING												Forest biomass is a crucial component of the global carbon budget in climate change studies. Therefore, it is essential to develop a credible way to estimate forest biomass as carbon stock. Our study used PALSAR-2 (ALOS-2) and Sentinel-2 images to drive the Random Forest regression model, which we trained with airborne lidar data. We used the model to estimate forest aboveground biomass (AGB) of two significant coniferous trees, Japanese cedar and Japanese cypress, in Ibaraki Prefecture, Japan. We used 48 variables derived from the two remote sensing datasets to predict forest AGB under the Random Forest algorithm, and found that the model that combined the two datasets performed better than models based on only one dataset, with R-2 = 0.31, root-mean-square error (RMSE) = 54.38 Mg ha(-1), mean absolute error (MAE) = 40.98 Mg ha(-1), and relative RMSE (rRMSE) of 0.35 for Japanese cedar, and R-2 = 0.37, RMSE = 98.63 Mg ha(-1), MAE = 76.97 Mg ha(-1), and rRMSE of 0.33 for Japanese cypress, over the whole AGB range. In the satellite AGB map, the total AGB of Japanese cedar in 17 targeted cities in Ibaraki Prefecture was 5.27 Pg, with a mean of 146.50 Mg ha(-1) and a standard deviation of 44.37 Mg ha(-1). The total AGB of Japanese cypress was 3.56 Pg, with a mean of 293.12 Mg ha(-1) and a standard deviation of 78.48 Mg ha(-1). We also found a strong linear relationship with between the model estimates and Japanese government data, with R-2 = 0.99 for both species and found the government information underestimates the AGB for cypress but overestimates it for cedar. Our results reveal that combining information from multiple sensors can predict forest AGB with increased accuracy and robustness.					Kato, Tomomichi/X-7390-2019; LI, HANTAO/KOC-9391-2024	Kato, Tomomichi/0000-0003-3757-3243; Hayashi, Masato/0000-0001-6120-9180														2072-4292				FEB	2022	14	3							468	10.3390/rs14030468	http://dx.doi.org/10.3390/rs14030468													WOS:000755327300001
J	Beaudoin, A; Hall, RJJ; Castilla, G; Filiatrault, M; Villemaire, P; Skakun, R; Guindon, L				Beaudoin, Andre; Hall, Ronald J. J.; Castilla, Guillermo; Filiatrault, Michelle; Villemaire, Philippe; Skakun, Rob; Guindon, Luc			Improved k-NN Mapping of Forest Attributes in Northern Canada Using Spaceborne L-Band SAR, Multispectral and LiDAR Data	REMOTE SENSING												Satellite forest inventories are the only feasible way to map Canada's vast, remote forest regions, such as those in the Northwest Territories (NWT). A method used to create such inventories is the k-nearest neighbour (k-NN) algorithm, which spatially extends information from forest inventory (FI) plots to the entire forest land base using wall-to-wall features typically derived from Landsat data. However, the benefits of integrating L-band synthetic aperture radar (SAR) data, strongly correlated to forest biomass, have not been assessed for Canadian northern boreal forests. Here we describe an optimized multivariate k-NN implementation of a 151,700 km(2) area in southern NWT that included ca. 2007 Landsat and dual-polarized Phased Array type L-band SAR (PALSAR) data on board the Advanced Land Observing Satellite (ALOS). Five forest attributes were mapped at 30 m cells: stand height, crown closure, stand/total volume and aboveground biomass (AGB). We assessed accuracy gains compared to Landsat-based maps. To circumvent the scarcity of FI plots, we used 3600 footprints from the Geoscience Laser Altimeter System (GLAS) as surrogate FI plots, where forest attributes were estimated using Light Detection and Ranging (LiDAR) metrics as predictors. After optimization, k-NN predicted forest attribute values for each pixel as the average of the 4 nearest (k = 4) surrogate FI plots within the Euclidian space of 9 best features (selected among 6 PALSAR, 10 Landsat, and 6 environmental features). Accuracy comparisons were based on 31 National Forest Inventory ground plots and over 1 million airborne LiDAR plots. Maps that included PALSAR HV backscatter resulted in forest attribute predictions with higher goodness of fit (adj. R-2), lower percent mean error (ME%), and percent root mean square error (RMSE%), and lower underestimation for larger attribute values. Predictions were most accurate for conifer stand height (RMSE% = 32.1%, adj. R-2 = 0.58) and AGB (RMSE% = 47.8%, adj. R-2 = 0.74), which is much more abundant in the area than mixedwood or broadleaf. Our study demonstrates that optimizing k-NN parameters and feature space, including PALSAR, Landsat, and environmental variables, is a viable approach for inventory mapping of the northern boreal forest regions of Canada.					Castilla, Guillermo/AHH-6125-2022	Filiatrault, Michelle/0000-0001-9942-2390; Castilla, Guillermo/0000-0002-6803-3816														2072-4292				MAR	2022	14	5							1181	10.3390/rs14051181	http://dx.doi.org/10.3390/rs14051181													WOS:000771166900001
J	López-Serrano, PM; Domínguez, JLC; Corral-Rivas, JJ; Jiménez, E; López-Sánchez, CA; Vega-Nieva, DJ				Lopez-Serrano, Pablito M.; Cardenas Dominguez, Jose Luis; Javier Corral-Rivas, Jose; Jimenez, Enrique; Lopez-Sanchez, Carlos A.; Jose Vega-Nieva, Daniel			Modeling of Aboveground Biomass with Landsat 8 OLI and Machine Learning in Temperate Forests	FORESTS												An accurate estimation of forests' aboveground biomass (AGB) is required because of its relevance to the carbon cycle, and because of its economic and ecological importance. The selection of appropriate variables from satellite information and physical variables is important for precise AGB prediction mapping. Because of the complex relationships for AGB prediction, non-parametric machine-learning techniques represent potentially useful techniques for AGB estimation, but their use and comparison in forest remote-sensing applications is still relatively limited. The objective of the present study was to evaluate the performance of automatic learning techniques, support vector regression (SVR) and random forest (RF), to predict the observed AGB (from 318 permanent sampling plots) from the Landsat 8 Landsat 8 Operational Land Imager (OLI) sensor, spectral indexes, texture indexes and physical variables the Sierra Madre Occidental in Mexico. The result showed that the best SVR model explained 80% of the total variance (root mean square error (RMSE) = 8.20 Mg ha(-1)). The variables that best predicted AGB, in order of importance, were the bands that belong to the region of red and near and middle infrared, and the average temperature. The results show that the SVR technique has a good potential for the estimation of the AGB and that the selection of the model hyperparameters has important implications for optimizing the goodness of fit.					; López-Sánchez, Carlos/K-6486-2016; López-Sánchez, Carlos A/K-6486-2016	Cárdenas-Domínguez, José Luis/0000-0002-4051-7843; López Serrano, Pablito Marcelo/0000-0003-0640-0606; Vega-Nieva, Daniel Jose/0000-0002-1463-6523; Corral, Javier/0000-0002-2851-7517; López-Sánchez, Carlos A/0000-0002-5135-5739														1999-4907				JAN	2020	11	1							11	10.3390/f11010011	http://dx.doi.org/10.3390/f11010011													WOS:000513184500011
J	Brown, C; Sjögersten, S; Ledger, MJ; Parish, F; Boyd, D				Brown, Chloe; Sjogersten, Sofie; Ledger, Martha J.; Parish, Faizal; Boyd, Doreen			Remote Sensing for Restoration Change Monitoring in Tropical Peat Swamp Forests in Malaysia	REMOTE SENSING												Effective planning and management strategies for restoring and conserving tropical peat swamp ecosystems require accurate and timely estimates of aboveground biomass (AGB), especially when monitoring the impacts of restoration interventions. The aim of this research is to assess changes in AGB and evaluate the effectiveness of restoration efforts in the North Selangor Peat Swamp Forest (NSPSF), one of the largest remaining peat swamp forests in Peninsular Malaysia, using advanced remote sensing techniques. A Random Forest machine learning method was employed to upscale AGB estimates, derived from a 'LiDAR AGB model', to larger landscape-scale areas with Sentinel-2 spectral and textural variables. The time period under investigation (2015-2018) marked a concentrated phase of restoration and regeneration efforts in NSPSF. The results demonstrate an overall increase in tropical peat swamp AGB during these years, where the total amount of estimated AGB stored in NSPSF increased from 19.3 Tg in 2015 to an estimated 19.8 Tg in 2018. The research found that a tailored variable selection approach improved predictions of AGB, with optimised input variables (n = 62) and parameter adjustments producing a good plausible result (R-2 = 0.80; RMSE = 55.2 Mg/ha). This paper concludes by emphasizing the importance of long-term studies (>5 years) for analyzing the success of tropical peat swamp restoration methods, with a potential for integrating remote sensing technology.						Ledger, Martha Jane/0000-0001-5279-0858; Boyd, Doreen/0000-0003-3040-552X														2072-4292				AUG	2024	16	15							2690	10.3390/rs16152690	http://dx.doi.org/10.3390/rs16152690													WOS:001287926000001
